,Тип рынка,Функциональная зона,"Общая площадь,
кв.м","Жилая площадь,
кв.м","Площадь кухни,
кв.м",Год постройки,Тип дома,Класс,Этаж,Этажность,Тип этажа,Количество комнат,Парковка,Материал стен,"Цена предложения,
руб.","Удельная цена, руб./кв.м",Актуальность на дату послед. проверки,Колич.  Просмотр.,Колич.  Просм. в день,"Остановка
м","Парк
м","Центр
км","Станция метро
м","Школа
м","Детский сад
м",Месяц создания,Год создания,Месяц парсинга,Год парсинга,Месяц последней проверки,Год последней проверки
1862,1,8,59.20000076293945,20.200000762939453,14.600000381469727,2024,3,2,2,2.0,3.0,2,0,3,7694700,130000,0,80,1.12,166,677,6,1719,694.0,509.0,1,2022,6,2022,9,2022
1863,2,1,50.20000076293945,28.5,8.0,1979,2,2,4,9.0,2.0,2,1,1,4700000,93625,1,52,0.02,81,1393,12,2079,170.0,148.0,1,2022,2,2022,9,2022
1864,2,1,63.20000076293945,43.70000076293945,7.0,1976,2,2,2,9.0,2.0,3,1,2,4900000,77532,0,19,0.05,214,103,12,5510,323.0,199.0,3,2022,1,2022,4,2022
1865,2,1,42.599998474121094,28.0,5.099999904632568,1962,1,2,2,5.0,2.0,2,0,2,5000000,117371,0,3,0.33,254,525,8,2506,85.0,127.0,3,2022,1,2022,9,2022
1866,2,1,56.5,38.0,6.0,1966,1,2,5,5.0,3.0,3,0,2,5990000,106018,0,11,0.0,221,1030,7,330,235.0,142.0,3,2022,3,2022,4,2022
1867,2,1,32.0,20.0,6.0,1966,1,2,5,5.0,3.0,1,0,2,3390000,105938,0,3,0.33,137,651,14,1630,227.0,100.0,3,2022,1,2022,5,2022
1868,2,1,47.70000076293945,28.299999237060547,7.5,1984,2,2,7,9.0,2.0,2,0,1,5850000,122642,1,51,0.02,48,116,5,47,357.0,230.0,3,2022,1,2022,9,2022
1869,2,1,32.0,19.100000381469727,6.0,1966,1,2,3,5.0,2.0,1,0,2,3330000,104063,1,44,0.02,137,651,14,1630,227.0,100.0,3,2022,1,2022,9,2022
1870,2,2,46.0,30.0,11.0,1985,2,2,9,9.0,3.0,2,0,1,2900000,63043,0,153,0.01,122,1402,13,6809,295.0,192.0,3,2022,1,2022,7,2022
1871,1,1,30.5,16.0,8.0,2008,3,2,9,10.0,2.0,1,1,1,4000000,131148,0,3,0.33,128,767,6,1393,192.0,196.0,3,2022,1,2022,11,2022
1872,2,1,25.0,18.0,4.0,1972,1,2,5,5.0,3.0,1,0,1,2000000,80000,1,54,0.02,241,1021,14,2013,320.0,369.0,3,2022,1,2022,9,2022
1873,2,1,78.9000015258789,44.79999923706055,7.099999904632568,1957,1,2,3,5.0,2.0,3,0,1,6300000,79848,1,48,0.02,89,541,10,2721,71.0,223.0,3,2022,1,2022,9,2022
1874,2,1,42.0,29.399999618530273,6.0,1963,1,2,3,4.0,2.0,3,0,1,4680000,111429,1,102,0.01,95,512,8,826,418.0,79.0,3,2022,1,2022,9,2022
1875,1,1,75.0,33.0,19.0,2017,3,2,8,13.0,2.0,2,1,2,13700000,182667,0,47,0.02,144,781,2,2092,357.0,285.0,3,2022,1,2022,8,2022
1876,1,4,31.299999237060547,18.700000762939453,5.599999904632568,1958,1,2,3,5.0,2.0,1,1,1,4200000,134185,0,34,0.03,81,345,4,2563,194.0,1299.0,3,2022,1,2022,6,2022
1877,2,1,53.29999923706055,35.20000076293945,5.400000095367432,1959,1,2,4,5.0,2.0,3,0,1,5300000,99437,1,46,0.02,168,241,12,702,292.0,187.0,3,2022,1,2022,9,2022
1878,2,2,29.200000762939453,17.600000381469727,4.800000190734863,1977,2,2,8,9.0,2.0,1,0,1,3190000,109247,0,17,0.06,100,1275,15,1977,187.0,224.0,3,2022,1,2022,4,2022
1879,2,1,32.599998474121094,17.200000762939453,5.900000095367432,1977,2,2,4,9.0,2.0,1,0,2,3300000,101227,0,36,0.03,165,763,13,6183,290.0,168.0,3,2022,1,2022,6,2022
1880,2,1,42.29999923706055,26.0,6.0,1974,1,2,4,5.0,2.0,2,1,2,4500000,106383,1,61,0.02,498,386,12,5467,231.0,156.0,3,2022,1,2022,9,2022
1881,2,1,32.599998474121094,17.200000762939453,5.900000095367432,1977,2,2,4,9.0,2.0,1,0,2,3300000,101227,0,69,0.01,165,763,13,6183,290.0,168.0,3,2022,1,2022,6,2022
1882,2,1,58.70000076293945,41.900001525878906,7.5,1964,2,2,3,9.0,2.0,3,0,2,6199000,105605,0,5,0.2,24,80,0,1526,136.0,803.0,3,2022,1,2022,1,2022
1883,2,1,35.5,16.799999237060547,7.0,1975,2,2,1,9.0,1.0,1,0,2,3570000,100563,0,12,0.08,230,220,11,1447,169.0,60.0,3,2022,1,2022,4,2022
1884,2,1,58.70000076293945,41.900001525878906,7.5,1964,2,2,3,9.0,2.0,3,0,2,6199000,105605,0,3,0.33,24,80,0,1526,136.0,803.0,3,2022,1,2022,5,2022
1885,2,1,42.0,27.0,6.0,1963,1,2,1,4.0,1.0,2,0,1,3770000,89762,1,56,0.02,196,370,11,4581,465.0,134.0,3,2022,1,2022,9,2022
1886,2,1,64.5999984741211,40.400001525878906,7.099999904632568,1988,2,2,5,9.0,2.0,3,1,2,7500000,116099,0,69,0.01,159,56,10,1547,152.0,335.0,3,2022,1,2022,10,2022
1887,2,1,31.0,19.0,6.0,1965,1,2,1,5.0,1.0,1,0,1,3700000,119355,1,56,0.02,6,394,13,731,163.0,308.0,3,2022,1,2022,9,2022
1888,2,1,30.799999237060547,17.100000381469727,6.599999904632568,1972,1,2,4,5.0,2.0,1,1,1,3800000,123377,1,54,0.0,267,362,10,1315,254.0,135.0,3,2022,3,2022,9,2022
1889,2,1,30.799999237060547,17.100000381469727,6.599999904632568,1972,1,2,4,5.0,2.0,1,1,1,3800000,123377,1,54,0.02,267,362,10,1315,254.0,135.0,3,2022,1,2022,9,2022
